Department,Employee,Age,Salary,Experience
Finance,Emp1,35.0,70000.0,5.0
Marketing,Emp2,30.0,60000.0,5.0
HR,Emp3,35.0,60000.0,1.0
Finance,Emp4,,,5.0
Finance,Emp5,35.0,60000.0,1.0
Marketing,Emp6,,60000.0,3.0
HR,Emp7,,60000.0,5.0
HR,Emp8,25.0,,3.0
Finance,Emp9,35.0,60000.0,1.0
IT,Emp10,25.0,70000.0,
Finance,Emp11,35.0,,5.0
Finance,Emp12,35.0,70000.0,1.0
Finance,Emp13,25.0,,
Finance,Emp14,25.0,60000.0,
Marketing,Emp15,35.0,70000.0,3.0
HR,Emp16,30.0,,1.0
Marketing,Emp17,,50000.0,
Marketing,Emp18,25.0,60000.0,5.0
Marketing,Emp19,,,5.0
Finance,Emp20,30.0,50000.0,3.0
IT,Emp21,30.0,,
HR,Emp22,30.0,50000.0,1.0
IT,Emp23,25.0,60000.0,5.0
Marketing,Emp24,30.0,70000.0,
Marketing,Emp25,25.0,50000.0,
IT,Emp26,30.0,,3.0
IT,Emp27,,60000.0,5.0
IT,Emp28,,50000.0,5.0
Marketing,Emp29,35.0,,1.0
Marketing,Emp30,,,5.0
HR,Emp31,35.0,,1.0
HR,Emp32,,50000.0,5.0
Marketing,Emp33,25.0,50000.0,3.0
IT,Emp34,,50000.0,5.0
IT,Emp35,35.0,70000.0,1.0
HR,Emp36,35.0,50000.0,1.0
Marketing,Emp37,30.0,50000.0,3.0
HR,Emp38,25.0,50000.0,5.0
HR,Emp39,,70000.0,5.0
Finance,Emp40,30.0,50000.0,3.0
Finance,Emp41,,,5.0
Finance,Emp42,,50000.0,5.0
IT,Emp43,30.0,,1.0
Marketing,Emp44,30.0,,5.0
Marketing,Emp45,30.0,,5.0
Marketing,Emp46,30.0,70000.0,3.0
Marketing,Emp47,30.0,70000.0,3.0
Finance,Emp48,,70000.0,
IT,Emp49,30.0,50000.0,1.0
IT,Emp50,25.0,,5.0
